0,1,2,3,4,5
1,1.632,2.188,0.907,0.585,0.35
0,-0.122,-0.189,-0.517,2.308,0.551
1,0.0,1.13,0.897,0.55,0.389
0,-0.293,0.703,1.872,2.315,0.456
0,-0.563,2.022,0.871,0.502,0.721
0,-0.256,0.212,-0.291,1.811,0.861
1,-0.85,1.905,1.516,0.758,0.704
0,-0.042,-0.082,-0.109,0.437,3.698
0,0.189,-0.151,-0.347,2.528,1.118
0,0.0,1.569,1.451,0.616,0.089
1,1.157,1.318,0.645,1.057,0.15
0,1.638,1.157,0.403,0.274,0.079
1,-0.36,1.058,1.714,0.457,0.515
0,0.489,0.835,1.765,0.832,0.289
0,0.395,-0.703,2.147,0.807,0.226
0,0.405,-0.792,2.242,0.762,0.812
0,-0.137,0.347,-0.53,2.498,0.252
1,-0.165,0.563,1.583,1.91,1.437
0,-0.268,0.466,1.228,1.547,0.398
0,1.494,-0.404,-0.315,1.743,1.271
1,-0.785,1.106,1.959,0.541,0.459
0,0.141,0.21,-0.359,1.996,1.235
0,0.598,-0.156,-0.171,0.503,3.307
0,-0.199,0.455,1.023,1.292,0.333
0,-0.088,0.326,0.224,0.584,3.06
1,-0.624,2.735,1.643,0.474,0.387
0,-0.557,1.339,2.576,0.875,0.336
1,-0.192,0.636,1.651,2.27,0.87
0,-0.271,-0.555,2.024,1.009,0.41
0,0.301,0.457,0.539,2.142,2.075
1,0.0,1.13,0.654,0.463,0.209
0,-0.214,-0.448,1.541,1.135,0.156
0,0.0,-0.528,0.581,0.552,0.245
0,-0.071,-0.078,0.162,-0.233,3.052
0,0.997,1.191,1.821,0.477,0.338
1,0.0,1.883,0.696,0.531,0.287
0,2.511,1.25,0.667,0.532,0.207
0,0.166,0.463,0.317,0.547,3.279
1,1.045,2.039,1.24,0.331,1.115
0,0.1,0.108,0.143,0.377,2.063
0,-0.391,0.375,0.433,1.232,1.312
0,0.0,1.197,1.753,0.713,0.144
0,-0.241,0.504,1.417,1.776,0.272
0,-0.171,0.612,0.308,-0.31,3.151
0,-0.599,0.369,0.89,1.739,1.0
0,0.204,-0.321,0.945,2.995,0.772
1,-0.896,2.096,0.631,0.433,0.096
1,-0.86,2.418,1.098,0.917,0.324
0,0.133,0.14,-0.202,1.367,1.658
0,-0.536,1.7,1.297,0.5,0.131
0,-0.436,0.65,0.816,2.213,1.129
1,0.0,0.0,1.461,0.697,-0.105
0,-0.153,-0.302,0.989,3.025,0.583
0,1.49,1.807,0.677,0.727,0.267
1,-0.392,-0.786,2.743,0.976,0.284
0,-0.133,-0.189,-0.496,2.928,0.73
0,0.0,0.799,1.885,1.379,0.258
0,-0.136,-0.204,-0.499,3.191,0.389
0,-0.043,-0.074,0.235,0.571,3.115
0,0.0,-0.47,0.431,-0.174,-0.077
0,0.103,0.102,-0.134,0.869,2.095
0,-0.166,0.264,-0.436,2.192,0.79
0,1.151,0.301,0.365,0.966,1.923
0,0.076,-0.073,-0.172,0.924,1.466
0,1.046,1.47,0.523,0.452,0.229
0,-0.27,0.751,-0.606,3.345,0.565
0,-0.557,1.883,1.37,0.577,0.453
0,-0.11,-0.161,-0.351,1.867,1.142
1,-0.387,-0.925,1.833,0.479,0.181
0,0.187,-0.309,1.516,1.064,0.538
0,0.256,0.2,-0.489,1.955,1.328
0,-0.535,-0.718,2.303,0.858,0.144
0,0.0,-0.798,1.738,1.424,-0.145
0,0.157,0.327,0.978,1.426,0.303
0,-0.281,-0.721,2.233,0.996,0.14
0,0.0,1.18,2.229,1.107,0.276
0,-0.127,-0.26,-0.429,2.567,0.388
1,0.969,1.13,0.327,0.772,0.106
1,0.0,1.713,1.321,0.697,-0.115
0,0.444,0.472,0.443,1.067,0.251
0,0.245,-0.157,-0.321,2.31,1.247
0,-0.259,-0.482,1.482,1.298,0.232
0,-0.184,0.553,1.234,2.482,0.614
0,1.019,0.434,-0.441,2.129,1.314
1,1.164,-0.587,0.534,1.117,0.486
1,1.037,1.123,0.516,0.299,0.178
0,0.0,0.109,-0.156,0.804,1.128
0,-0.372,-0.81,3.199,1.039,0.249
0,-0.253,0.474,1.314,1.566,0.231
0,-0.062,0.091,-0.097,0.316,2.822
1,0.705,1.338,0.883,0.617,0.209
0,-0.71,2.089,1.053,0.453,0.155
0,-0.052,-0.085,-0.131,0.713,3.272
0,0.0,0.338,0.992,1.448,0.213
0,-0.384,-0.722,2.72,1.297,0.249
0,-0.121,0.248,0.701,2.061,0.675
0,0.385,0.378,0.55,1.276,0.324
0,-0.166,-0.267,-0.62,2.408,0.586
1,0.0,0.777,1.261,0.538,0.312
0,0.252,0.206,-0.539,2.185,1.026
0,-0.3,0.716,1.722,2.321,0.472
1,0.416,-0.496,1.979,0.863,0.567
0,0.0,2.041,0.509,0.434,0.128
0,-0.062,-0.105,0.359,1.127,2.153
0,-0.437,1.092,0.848,1.237,0.212
0,0.0,0.699,1.931,1.49,-0.164
1,1.219,0.73,0.498,0.638,0.192
0,-0.599,1.913,0.776,0.484,0.648
0,-0.123,0.305,-0.448,2.016,0.303
0,-0.109,-0.186,-0.496,2.364,0.98
0,-0.12,-0.19,-0.52,2.274,1.021
0,-0.305,-0.669,2.464,1.209,0.264
0,-0.845,2.461,0.952,0.425,0.184
0,-0.112,-0.151,-0.294,-0.805,-0.993
1,-0.783,1.926,0.725,0.552,0.28
0,-0.297,-0.747,2.387,1.068,0.24
0,0.138,0.25,0.602,1.708,0.343
0,0.063,0.082,0.113,0.32,2.469
1,0.194,0.344,1.102,2.573,1.186
0,-0.087,-0.144,-0.279,1.995,2.307
1,-0.538,1.172,0.442,0.72,0.278
1,-0.577,-0.54,2.195,1.143,0.37
0,-0.279,-0.656,2.322,0.987,0.19
0,0.145,-0.168,-0.348,2.773,0.607
0,-0.058,-0.093,-0.238,1.236,1.16
0,1.222,-0.476,-0.425,2.039,1.287
0,0.101,0.162,0.19,0.614,2.586
1,0.0,2.249,-0.584,0.766,0.136
1,-0.144,0.438,0.928,2.847,0.999
0,-0.224,0.683,1.666,1.18,0.692
0,0.0,-0.19,-0.479,2.197,0.797
0,0.949,0.925,0.381,0.527,0.235
1,-0.506,-0.743,2.391,0.801,0.377
1,-0.162,0.436,1.525,2.441,0.833
0,0.0,2.041,1.342,0.631,0.152
0,-0.339,1.019,0.641,0.387,2.534
1,1.02,-0.789,2.416,0.661,0.297
0,-0.104,-0.181,-0.419,2.074,0.642
0,-0.337,1.019,0.64,0.387,2.531
0,-0.689,2.023,0.912,0.841,0.157
0,-0.329,1.191,0.515,1.97,1.488
0,0.662,-0.255,-0.393,3.162,0.71
0,0.11,-0.109,-0.248,1.607,1.022
0,-0.051,-0.085,0.359,1.07,2.01
0,0.0,0.544,0.362,0.413,0.095
0,0.85,0.572,1.117,2.187,1.089
0,-0.16,0.172,-0.299,2.254,1.127
0,-0.124,-0.308,1.16,0.831,2.673
0,-0.177,0.403,1.008,2.673,0.629
0,0.372,0.62,1.345,1.643,-0.155
0,0.488,0.724,-0.529,2.579,1.169
1,-0.397,1.167,1.472,0.779,0.454
1,0.457,-0.682,1.981,0.615,0.432
1,0.846,-0.464,1.665,1.426,1.146
0,-0.206,-0.489,1.919,1.341,0.56
1,0.0,1.552,1.173,0.68,0.135
0,0.108,-0.121,-0.304,1.608,1.576
0,-0.354,1.11,2.302,1.064,0.227
1,-0.31,-0.596,2.155,1.085,0.296
0,0.246,-0.348,0.988,1.413,0.259
0,-0.047,0.095,-0.092,0.355,2.102
1,0.0,0.693,0.289,0.487,0.186
0,0.0,0.424,0.311,0.376,0.075
0,0.0,-0.974,2.518,1.138,0.296
1,-0.313,-0.574,1.405,1.313,0.369
1,-0.52,-0.668,2.528,0.915,0.302
0,0.0,0.516,1.12,1.593,0.216
1,-0.796,0.827,1.361,0.862,0.662
0,0.0,2.058,1.225,0.824,0.152
0,1.107,-0.343,-0.481,2.53,0.599
0,0.0,2.022,-0.683,0.556,0.164
1,-0.166,-0.313,1.672,2.218,1.155
1,-0.721,1.3,1.048,0.709,0.22
0,-0.146,-0.245,-0.566,3.373,0.58
0,-0.046,-0.061,-0.13,0.698,3.223
0,-0.545,1.775,0.676,2.426,0.231
1,-0.455,1.303,1.587,1.4,0.939
0,1.794,-0.601,0.46,0.378,0.159
0,-0.054,-0.099,-0.186,1.182,1.222
0,-0.035,0.094,-0.137,0.88,2.416
0,1.926,-0.646,0.485,0.41,0.169
0,-0.135,0.254,-0.336,2.074,1.176
1,0.66,0.789,1.664,0.654,0.313
0,0.884,-0.249,-0.503,2.821,0.745
1,0.0,0.0,0.927,0.561,0.122
0,1.903,-0.426,-0.297,1.277,0.755
0,-0.079,-0.148,0.745,0.994,2.918
1,1.02,0.836,1.28,2.154,0.41
0,1.155,-0.432,0.658,1.893,1.029
1,-0.749,1.652,0.92,0.52,0.152
0,-0.081,-0.124,-0.344,1.792,1.408
0,0.071,-0.084,-0.124,0.491,3.079
1,0.544,0.668,1.131,0.587,0.137
0,-0.226,0.983,0.45,0.308,2.676
0,-0.911,2.189,0.477,0.392,0.145
0,0.164,0.24,-0.403,2.386,0.79
0,-0.11,0.28,0.712,1.599,0.268
0,1.449,0.473,-0.377,2.054,0.512
0,-0.067,0.114,0.261,1.214,1.918
0,-0.06,-0.118,-0.272,1.163,1.086
1,-0.772,1.241,0.892,0.764,0.2
0,-0.09,0.223,-0.309,1.903,0.449
0,0.0,0.535,0.304,0.302,0.087
0,0.216,-0.355,1.014,2.882,0.735
0,0.0,1.356,2.416,1.027,0.319
1,1.558,1.247,2.047,0.555,0.539
0,0.0,-0.756,2.634,1.058,0.293
1,0.378,0.722,-0.554,3.296,0.656
1,1.639,0.936,2.054,0.449,0.546
1,0.0,0.797,0.514,0.699,0.186
0,0.0,-0.514,1.321,1.521,0.222
0,-0.132,0.231,-0.427,2.063,1.051
1,-0.419,-0.332,0.883,0.293,0.079
0,-0.153,-0.241,-0.529,2.973,0.383
0,-0.216,0.503,1.362,-0.282,2.885
0,0.314,0.648,0.833,2.986,0.991
1,-0.677,0.952,2.049,1.166,0.324
0,0.0,0.451,1.008,2.885,0.536
1,0.0,1.018,1.125,0.921,0.295
0,0.0,2.225,1.368,0.582,0.121
1,-0.648,1.64,0.738,0.897,0.208
0,-0.065,-0.1,0.339,1.165,0.767
0,0.0,-0.883,0.492,0.316,0.131
0,-0.033,-0.047,-0.107,0.607,4.107
1,1.47,1.248,1.9,0.419,0.195
0,-0.229,-0.609,2.003,1.071,0.213
0,0.385,0.432,0.494,1.008,2.917
1,0.886,1.097,0.513,0.938,0.174
0,0.0,1.668,0.474,0.335,0.144
0,-0.2,-0.44,1.415,2.712,0.711
0,0.0,-0.56,2.038,1.132,0.181
0,-0.293,1.252,0.579,1.98,1.644
0,0.0,1.97,0.75,0.509,0.181
0,-0.189,-0.198,-0.363,1.433,0.451
0,0.082,0.108,-0.134,0.479,3.483
1,0.0,1.509,0.9,0.876,0.365
0,-0.559,-0.447,0.337,0.309,0.049
0,0.231,0.437,0.909,1.505,0.744
0,1.363,0.973,0.41,0.384,0.118
0,0.159,0.163,0.178,0.828,1.929
0,-0.329,0.876,-0.59,3.05,0.634
0,0.607,0.28,-0.491,2.486,1.032
1,0.0,-0.326,0.197,-0.088,0.077
1,1.59,1.163,1.96,0.551,0.576
0,-0.214,0.545,1.267,1.441,0.169
1,1.043,1.063,2.044,1.09,0.328
1,1.298,0.746,1.911,1.473,0.721
1,-0.936,1.568,1.001,0.802,0.363
0,0.109,0.112,-0.122,0.695,1.26
0,-0.039,-0.092,-0.149,0.98,2.646
0,-0.051,-0.069,-0.106,-0.275,3.341
0,-0.271,-0.304,-0.609,3.056,0.405
1,0.689,0.716,1.608,1.444,0.954
0,-0.366,-0.914,2.861,1.247,0.288
0,-0.246,-0.262,-0.435,2.609,0.799
0,0.2,0.303,-0.411,2.6,1.972
0,0.0,-0.752,2.985,1.395,0.279
1,-0.403,1.045,0.415,0.307,0.098
0,-0.738,1.903,0.717,0.64,0.183
0,0.166,0.255,-0.47,2.448,0.711
0,-0.307,-0.53,2.474,0.892,0.279
0,-0.115,0.213,-0.505,1.852,0.644
0,-0.535,0.621,1.638,1.16,0.352
0,-0.082,0.148,0.166,0.483,-0.712
0,-0.108,0.183,-0.346,2.35,1.094
0,-0.089,-0.143,-0.391,-0.709,-0.668
0,-0.321,-0.626,2.448,1.929,0.505
1,0.39,0.907,2.017,0.471,0.358
1,-0.805,1.111,0.746,1.074,0.294
0,0.573,-0.56,2.051,1.17,0.247
1,1.078,-0.498,0.442,0.456,0.132
0,-0.32,0.569,1.5,1.204,0.308
0,0.163,0.204,-0.24,1.272,1.667
0,0.0,1.748,0.989,0.455,0.106
0,-0.103,0.226,0.256,1.293,2.411
1,-0.173,-0.364,1.521,2.717,0.836
0,-0.063,0.172,-0.143,0.529,3.167
1,0.602,1.0,1.972,0.478,0.266
1,0.77,-0.661,2.694,1.136,0.283
0,0.0,0.901,1.96,1.023,-0.147
0,-0.363,0.503,0.744,2.247,0.55
1,0.589,0.939,2.231,0.499,0.465
0,-0.968,2.308,0.964,0.614,0.436
0,0.0,0.33,0.899,2.024,0.448
1,-0.568,1.925,0.901,1.281,0.332
0,-0.157,0.553,0.999,2.429,1.423
0,0.052,-0.07,-0.1,0.362,3.684
0,-0.06,0.16,-0.151,0.509,3.221
0,-0.055,-0.087,-0.158,0.822,3.665
0,0.39,-0.186,-0.47,2.725,1.188
0,-0.084,-0.144,-0.408,2.303,0.925
0,-0.146,0.199,-0.337,2.197,0.555
1,0.0,1.387,0.59,0.562,0.219
0,-0.139,0.129,0.159,0.439,2.146
0,0.174,0.271,-0.517,2.612,0.308
0,0.368,0.725,2.104,0.857,0.976
0,0.398,-0.649,2.562,0.567,0.204
0,-0.393,-0.781,2.371,1.057,0.359
1,0.0,1.104,0.988,0.577,0.414
0,0.0,-1.093,0.497,0.36,0.091
0,-0.095,0.147,0.352,1.239,2.222
0,0.204,-0.171,0.696,1.321,2.286
0,0.103,-0.126,-0.283,1.994,1.543
0,-0.07,-0.128,-0.27,1.923,0.695
0,-0.066,0.112,0.176,0.65,3.259
0,-0.253,0.689,1.766,1.465,0.656
1,0.0,1.755,1.362,1.494,0.421
0,0.0,-0.694,2.314,1.594,0.192
0,-0.234,-0.6,1.871,2.013,0.197
0,0.0,-0.445,1.078,1.737,0.378
0,-0.234,0.306,0.546,2.143,0.88
0,-0.067,-0.121,-0.295,1.317,0.965
0,-0.06,0.125,-0.126,0.539,2.916
1,0.0,1.099,1.054,0.497,0.223
0,0.977,1.719,0.797,0.645,0.247
0,1.803,1.426,0.337,0.274,0.107
0,0.1,-0.108,-0.243,1.716,1.214
0,0.362,0.737,1.945,0.8,0.636
0,-0.381,-0.824,2.791,1.087,0.338
1,0.0,0.639,0.835,0.387,0.106
0,-0.103,0.272,0.49,1.884,0.241
0,-0.507,1.781,0.893,0.496,0.19
0,0.515,0.896,2.362,0.757,0.34
1,0.0,1.752,0.792,0.796,0.216
0,0.163,0.24,-0.402,2.496,0.77
0,-0.42,-1.219,1.646,0.614,0.227
0,0.0,2.28,1.343,0.606,0.135
0,-0.127,-0.198,-0.472,2.369,0.87
0,0.183,0.323,0.829,1.552,0.201
0,-0.456,1.038,1.827,0.667,0.27
1,0.0,0.914,1.319,0.678,0.156
1,0.325,0.638,0.751,0.965,1.371
0,-0.056,-0.089,-0.133,0.688,3.325
1,-0.344,-0.678,2.504,1.13,0.356
0,-0.553,-0.768,1.872,1.028,0.159
1,0.0,0.965,0.974,0.526,0.395
1,0.989,0.959,1.71,1.5,0.453
1,-0.363,-0.604,2.025,0.752,0.545
0,-0.195,0.613,-0.216,1.025,-0.112
0,-0.193,-0.396,1.271,1.503,0.356
0,-0.082,0.081,-0.11,0.268,2.072
0,-0.134,-0.292,1.045,1.604,2.141
0,-0.144,-0.204,-0.526,2.998,0.641
0,-0.041,0.082,-0.116,0.493,2.733
1,-0.219,-0.409,2.102,1.554,1.231
0,1.78,-0.608,0.45,0.336,0.152
0,0.122,-0.105,0.25,0.779,1.204
0,0.487,0.668,0.567,2.058,1.512
0,0.078,0.07,-0.142,0.882,1.134
0,0.56,1.01,1.628,0.681,0.134
0,0.0,-0.432,1.497,1.204,0.195
0,0.112,0.154,0.203,0.848,1.936
1,0.0,0.6,0.265,0.552,0.081
0,-0.467,1.619,0.662,1.429,1.331
0,-0.182,0.319,0.718,1.966,0.36
0,-0.32,-0.64,-0.802,-0.656,-0.185
0,1.175,1.253,0.638,0.577,0.257
0,-0.31,0.371,0.604,2.012,0.523
0,-0.173,0.405,0.824,1.673,0.378
0,0.924,0.438,-0.392,2.417,0.951
0,-0.128,-0.207,-0.482,1.931,0.55
0,0.063,0.11,0.124,-0.269,2.786
0,-0.136,-0.26,-0.533,2.637,0.35
0,0.0,0.997,0.413,0.38,0.12
0,-0.268,0.249,-0.436,2.771,0.608
0,0.0,0.601,1.166,1.489,0.179
0,-0.215,0.576,1.206,1.254,0.374
0,-0.314,-0.803,2.359,0.904,0.54
0,0.098,0.122,-0.244,1.271,1.903
1,0.913,0.778,1.891,1.384,0.677
0,-0.221,-0.442,1.914,1.042,0.48
1,0.0,1.957,0.871,0.52,0.231
0,-0.289,0.426,1.072,2.084,0.41
1,-0.349,1.215,1.435,0.884,0.618
0,0.0,-0.466,1.04,2.526,0.38
0,-0.08,0.135,-0.23,1.411,1.518
1,0.72,0.796,1.547,0.378,0.646
0,0.0,-0.618,1.916,1.931,0.288
0,-0.096,-0.263,1.084,0.521,3.237
1,-0.168,-0.3,1.464,2.373,1.136
0,-0.147,-0.205,-0.487,2.132,0.828
1,-0.241,0.882,1.186,2.528,0.657
0,-0.038,0.077,-0.107,0.582,2.328
1,-0.531,1.22,1.598,1.378,1.002
1,0.758,1.27,1.771,0.813,0.523
0,0.246,-0.39,1.264,1.354,0.228
0,-0.359,1.541,0.613,1.982,1.05
0,0.565,0.202,0.22,0.566,3.381
0,-1.016,-0.664,0.386,0.305,0.108
0,0.198,0.327,0.976,1.433,0.205
0,0.405,0.746,2.099,0.758,0.325
0,-0.138,-0.158,-0.393,2.97,1.017
0,-0.177,0.508,1.363,1.397,0.205
0,1.555,-0.617,0.378,0.389,0.082
0,0.682,1.109,1.236,1.06,1.334
0,0.0,-0.636,2.35,1.662,0.362
1,0.0,1.763,2.107,1.132,0.62
0,-0.103,-0.148,-0.334,2.463,1.31
1,1.862,0.887,0.564,0.335,0.098
1,-0.831,1.006,2.147,0.603,0.418
0,0.0,-0.775,2.834,1.078,0.255
1,-0.459,-0.818,-0.851,-0.497,-0.114
0,0.934,1.522,0.627,0.298,0.119
0,-0.875,1.902,0.837,0.432,0.157
0,-0.204,-0.401,1.342,1.385,0.316
1,1.251,1.044,0.554,0.584,0.296
1,0.0,0.618,1.516,0.609,0.223
0,0.097,-0.13,-0.241,1.505,0.864
0,-0.25,-0.661,2.053,1.783,0.181
0,-0.322,0.312,0.516,1.717,0.847
0,0.617,0.422,-0.424,2.845,1.007
0,-0.066,-0.097,-0.247,1.555,2.946
1,1.331,1.871,0.773,1.005,0.304
0,-0.141,0.313,0.944,2.741,1.203
0,0.114,-0.21,-0.554,2.28,1.422
1,1.205,1.936,1.381,0.593,0.747
0,-0.123,-0.193,0.576,1.543,0.427
0,0.0,0.303,0.502,1.435,0.437
1,-0.541,1.902,1.472,1.229,0.543
0,0.125,-0.134,0.389,1.636,1.625
0,0.0,-0.849,2.321,1.014,0.237
0,-0.108,-0.184,-0.335,2.136,0.312
0,0.0,0.93,0.553,0.381,0.081
0,-0.385,1.17,-0.578,2.9,0.437
0,0.0,1.705,1.534,0.817,0.147
0,1.228,-0.432,-0.423,2.821,0.305
0,0.744,-0.186,-0.433,2.272,1.052
0,0.745,0.529,0.443,1.314,2.209
1,0.996,1.08,0.436,0.747,0.442
1,-0.12,-0.205,0.972,2.625,1.352
1,0.764,1.41,0.711,1.201,0.214
0,0.209,-0.257,0.963,1.937,0.717
0,-0.076,0.09,-0.175,0.889,2.099
0,0.616,0.831,2.194,0.5,0.25
0,-0.181,0.388,-0.624,2.962,0.566
0,-0.129,-0.302,0.982,1.646,2.117
0,0.0,2.313,1.052,0.463,0.104
0,-0.258,-0.612,2.296,0.932,0.185
1,-0.817,-0.496,0.869,0.184,0.143
0,-0.141,-0.212,-0.509,3.177,0.399
1,0.0,1.448,0.866,0.726,-0.235
0,1.424,1.763,0.591,0.356,0.159
0,0.4,0.686,0.577,0.551,2.793
0,0.704,1.183,1.647,0.471,0.228
0,-0.163,-0.233,-0.579,1.695,0.619
0,1.095,1.391,0.554,0.276,0.117
0,0.671,0.683,-0.61,2.976,0.53
0,-0.375,-0.868,2.493,1.447,0.219
0,-0.377,-0.784,2.844,1.127,0.308
1,-1.051,2.422,-0.637,0.672,0.222
0,0.12,-0.201,0.782,1.828,0.794
1,0.786,1.048,0.769,1.213,0.315
0,0.272,-0.461,1.571,1.875,0.422
0,-0.631,1.786,1.268,0.448,0.179
0,0.409,0.323,0.387,1.886,1.952
0,0.0,0.348,0.812,2.692,1.098
0,0.0,-0.539,1.985,1.541,0.33
0,-0.229,0.599,1.06,2.703,0.576
0,0.094,0.12,-0.234,1.219,1.304
0,0.265,0.57,0.544,2.138,2.116
1,0.951,0.713,1.258,2.223,0.413
0,1.063,0.523,0.329,0.496,0.095
0,0.0,1.189,0.428,0.334,0.134
0,0.273,0.344,-0.54,3.489,0.648
0,0.0,1.741,0.719,0.704,0.226
1,0.478,0.834,1.528,0.542,0.58
0,0.0,0.0,0.986,0.459,0.103
0,-0.169,-0.311,-0.684,3.211,-0.239
0,0.063,-0.073,-0.113,0.355,3.065
0,0.197,-0.281,-0.711,3.17,0.558
0,-0.225,0.984,0.452,0.309,2.675
1,-0.208,0.741,1.537,1.814,1.173
0,-0.529,1.842,0.513,0.27,2.198
0,-0.152,-0.254,-0.673,2.888,0.541
0,-0.107,-0.239,1.435,1.082,2.62
0,0.0,-0.588,1.685,2.156,0.499
1,2.116,0.865,1.246,0.961,0.432
0,-0.375,1.212,0.503,0.872,2.321
0,0.156,-0.187,-0.417,2.015,1.219
1,-0.67,2.245,0.845,1.08,0.305
1,-0.159,-0.419,1.791,2.109,0.779
1,-0.569,2.131,0.686,0.602,0.672
1,-0.711,-0.604,2.106,0.809,0.238
0,0.484,0.456,-0.707,3.544,0.563
1,-0.177,-0.413,2.009,2.574,0.406
